id,name,categoryId,createdAt,updatedAt,deletedAt
00509093-2631-40a8-98d1-ccdb3387636d,Horse Riding,4fcd5eae-4d9b-434e-a8b1-deb26a674ec1,,,
1b0e559a-328b-41c8-a6d5-e1c03a9c08ee,Motorbike,525e20f3-5fc1-4153-a006-19cd1b2bf0f7,2025-06-25 14:01:45.62214+00,2025-06-25 14:01:45.62214+00,
24e6afe5-a4f1-4b8e-95bf-0dc166066946,Club Crawl / Bus,0355c4cd-5418-4a76-a441-a8b39a1a4a94,2025-06-25 14:01:45.62214+00,2025-06-25 14:01:45.62214+00,
2a44a6eb-9e15-43ee-8470-8c136383215f,Fishing,4fcd5eae-4d9b-434e-a8b1-deb26a674ec1,,,
3c214bbd-c554-4118-9807-aaa525c0de2a,Nightclub,0355c4cd-5418-4a76-a441-a8b39a1a4a94,2025-06-25 14:01:45.62214+00,2025-06-25 14:01:45.62214+00,
4ee682c1-34b3-43fc-b433-432660daea8e,Beauty,2a2a607b-9777-4d29-85b7-e66a1d185c38,,,
572c7ee3-259b-4fc6-9191-2d9469fb7c2f,Car,525e20f3-5fc1-4153-a006-19cd1b2bf0f7,2025-09-17 12:17:03+00,2025-09-17 12:17:04+00,2025-09-17 12:17:06+00
574eb867-050e-4e5d-830a-970bee528f65,Tattoo,2a2a607b-9777-4d29-85b7-e66a1d185c38,2025-06-25 14:01:45.62214+00,2025-06-25 14:01:45.62214+00,
71cffd35-f2f3-48eb-be15-c5302ebae878,Tour,525e20f3-5fc1-4153-a006-19cd1b2bf0f7,2025-06-25 14:01:45.62214+00,2025-06-25 14:01:45.62214+00,
765c5a26-3f56-4aba-ad77-024cec2ce58c,Silver Class,4fcd5eae-4d9b-434e-a8b1-deb26a674ec1,2025-09-17 10:42:44+00,2025-09-17 10:42:46+00,
7c8d9e0f-1a2b-4c3d-b4e5-f6a7b8c9d0e1,Diving,4fcd5eae-4d9b-434e-a8b1-deb26a674ec1,2025-06-25 14:01:45.62214+00,2025-06-25 14:01:45.62214+00,
8f9e0a1b-2c3d-4b5e-a6f7-b8c9d0e1f2a3,Surfing,4fcd5eae-4d9b-434e-a8b1-deb26a674ec1,2025-06-25 14:01:45.62214+00,2025-11-03 05:01:20.565175+00,
983fcf7d-100a-4fd1-9249-ebce0effeebb,Jeep,4fcd5eae-4d9b-434e-a8b1-deb26a674ec1,2025-09-17 02:52:54+00,2025-09-17 02:52:57+00,
98571268-993d-4da4-ae6e-8821bf5f8bbb,Bottle Service,0355c4cd-5418-4a76-a441-a8b39a1a4a94,2025-06-25 14:01:45.62214+00,2025-06-25 14:01:45.62214+00,
9c305b5b-44aa-4c6f-b297-ab8bc324c9f8,Trekking,4fcd5eae-4d9b-434e-a8b1-deb26a674ec1,2025-09-17 02:21:53+00,2025-09-17 02:21:55+00,
a2d85d13-f654-48a3-9d0f-06cb719383bd,Dayclub,0355c4cd-5418-4a76-a441-a8b39a1a4a94,,,
cb620e6d-6392-4830-9ef6-e2f636ac7722,Zoo,4fcd5eae-4d9b-434e-a8b1-deb26a674ec1,,,
d36e61ba-afaf-4fca-bb65-5f428ed20bf9,Hair Color,2a2a607b-9777-4d29-85b7-e66a1d185c38,2025-06-25 14:01:45.62214+00,2025-06-25 14:01:45.62214+00,
d8092b5c-4e16-44e8-8091-588660fdc045,Rafting,4fcd5eae-4d9b-434e-a8b1-deb26a674ec1,2025-06-25 14:01:45.62214+00,2025-06-25 14:01:45.62214+00,
de882dbc-2420-4d3f-8ff3-6ba7fa13f7ad,Shows / Attract,0355c4cd-5418-4a76-a441-a8b39a1a4a94,2025-06-25 14:01:45.62214+00,2025-06-25 14:01:45.62214+00,
f024ae7a-ac3a-4319-9bda-5411e15ac74b,Boat,4fcd5eae-4d9b-434e-a8b1-deb26a674ec1,,,
f6e9400f-1af4-4ec4-b25a-15f23ad3a81f,Laundry,2a2a607b-9777-4d29-85b7-e66a1d185c38,2025-06-25 14:01:45.62214+00,2025-06-25 14:01:45.62214+00,
f72f64da-d9d9-455b-a683-957cf1a28ed6,ATV,4fcd5eae-4d9b-434e-a8b1-deb26a674ec1,2025-06-25 14:01:45.62214+00,2025-06-25 14:01:45.62214+00,
f9ac0c36-6106-4c3e-9670-897839564c53,Spa / Message,2a2a607b-9777-4d29-85b7-e66a1d185c38,2025-06-25 14:01:45.62214+00,2025-06-25 14:01:45.62214+00,